r,amp_w,tw,tp_w,phase_w,vert_w,acre,cw, qw, qe,ce, qd,amp_s,ts,tp_s,phase_s,vert_s, qs, tal,exp, mal,i,crop,r_var,water_energy_util_var,dem_var,supp_var,diff_sup_dem_var,tal_var,exp_var,mal_var, qs_stddev
47617.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.25784225,0.06000000,34952.00000000,8.00000000,201.44000000,809.26380855,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,964.00000000,16826.00000000,140.45382290,187.97286930,1.00000000,1.00000000,0.00002100,143654.21267198,0.00123569,0.00103734,8233.05643876,0.00005943,0.00711978,0.00531992,289.20000000
68590.93852248,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.88255717,0.06000000,25282.00000000,7.00000000,201.44000000,796.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,789.31744985,10665.53339164,92.56737479,389.86260455,1.00000000,1.00000000,0.00001458,110554.84390659,0.00125628,0.00126692,10816.00000000,0.00009376,0.01080294,0.00256501,236.79523495
58076.50845723,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.00000000,0.06000000,29323.00000000,9.00000000,201.44000000,913.40400049,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,947.00000000,6996.09903710,407.50467819,105.39767702,1.00000000,1.00000000,0.00001722,68283.58029798,0.00109481,0.00105597,179.66722911,0.00014294,0.00245396,0.00948788,284.10000000
56886.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,0.43990771,0.06000000,20491.00000000,6.84475274,201.44000000,748.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,1032.00000000,14851.00000000,353.60411914,398.00000000,1.00000000,1.00000000,0.00001758,25488.66030997,0.00133690,0.00096899,23104.00000000,0.00006734,0.00282802,0.00251256,309.60000000
69758.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.89901022,0.06000000,28960.00000000,7.54686462,201.44000000,902.22699431,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,988.88163371,14138.59118194,384.00000000,387.16796253,1.00000000,1.00000000,0.00001434,116669.68273344,0.00110837,0.00101124,4.95950367,0.00007073,0.00260417,0.00258286,296.66449011
65751.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.57196744,0.06000000,22350.00000000,7.00000000,201.44000000,1015.56844788,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,835.62709774,7123.42238873,369.23974988,104.00000000,1.00000000,1.00000000,0.00001521,92315.18625622,0.00098467,0.00119671,13356.06614465,0.00014038,0.00270827,0.00961538,250.68812932
65703.64034116,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.66194799,0.06000000,22623.00000000,7.41666834,201.44000000,765.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,733.25782209,15496.21880189,492.00000000,235.00000000,1.00000000,1.00000000,0.00001522,161843.64796786,0.00130719,0.00136378,18225.00000000,0.00006453,0.00203252,0.00425532,219.97734663
49503.27474300,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.01371929,0.06000000,26447.00000000,6.00000000,201.44000000,797.63129623,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,925.35687161,8383.26341545,189.11241775,333.57795374,1.00000000,1.00000000,0.00002020,107810.35091772,0.00125371,0.00108066,10479.35151101,0.00011929,0.00528786,0.00299780,277.60706148
61256.44842052,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,3.00000000,0.06000000,19902.00000000,8.84268848,201.44000000,888.13296731,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,837.08851307,18850.14751623,147.77305503,271.46515008,1.00000000,1.00000000,0.00001632,202694.80991084,0.00112596,0.00119462,140.82646482,0.00005305,0.00676713,0.00368371,251.12655392
56471.96765379,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,0.18917109,0.06000000,25566.00000000,6.15866553,201.44000000,1072.44944694,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,838.83915324,17964.36181207,473.91836963,146.31742743,1.00000000,1.00000000,0.00001771,10287.68161817,0.00093244,0.00119212,29738.81175095,0.00005567,0.00211007,0.00683446,251.65174597
58558.99415804,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,0.74310000,0.06000000,35248.00000000,7.00000000,201.44000000,726.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,941.25462745,7684.76482121,401.47240580,94.00000000,1.00000000,1.00000000,0.00001708,43639.20848155,0.00137741,0.00106241,30276.00000000,0.00013013,0.00249083,0.01063830,282.37638824
68063.34730094,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,0.15515833,0.06000000,28480.00000000,7.04383641,201.44000000,936.38217867,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,870.87137140,7357.29672092,305.05625768,286.60348186,1.00000000,1.00000000,0.00001469,9146.00520962,0.00106794,0.00114828,1323.66292513,0.00013592,0.00327808,0.00348914,261.26141142
63929.38791595,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,0.37148631,0.06000000,20653.00000000,8.71111661,201.44000000,985.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,1010.49277876,13807.97194063,253.00000000,422.33295656,1.00000000,1.00000000,0.00001564,24874.70185560,0.00101523,0.00098962,7225.00000000,0.00007242,0.00395257,0.00236780,303.14783363
55856.06498355,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.89933729,0.06000000,22258.00000000,7.74467067,201.44000000,1022.44399600,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,1035.00000000,5091.79564073,138.08890976,497.83600135,1.00000000,1.00000000,0.00001790,118515.36165312,0.00097805,0.00096618,14992.53215652,0.00019639,0.00724171,0.00200869,310.50000000
63993.64781860,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.16806145,0.06000000,19652.00000000,5.00000000,201.44000000,1057.26168358,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,943.24703729,15258.92323829,108.00000000,420.29271979,1.00000000,1.00000000,0.00001563,56055.53128921,0.00094584,0.00106017,24731.23712375,0.00006554,0.00925926,0.00237929,282.97411119
48120.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,3.00000000,0.06000000,19622.00000000,5.01368643,201.44000000,819.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,925.40548727,14980.21000789,358.00000000,297.00000000,1.00000000,1.00000000,0.00002078,144206.99741314,0.00122100,0.00108061,6561.00000000,0.00006675,0.00279330,0.00336700,277.62164618
47979.26233029,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.25006333,0.06000000,23116.00000000,8.00000000,201.44000000,1068.00382797,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,870.78666037,15319.60526071,402.46460697,166.13283876,1.00000000,1.00000000,0.00002084,79534.72548427,0.00093633,0.00114839,28225.28621093,0.00006528,0.00248469,0.00601928,261.23599811
53296.97078998,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.45538711,0.06000000,27796.00000000,9.00000000,201.44000000,863.32455884,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,895.90591596,9621.59540099,440.29846361,268.81931926,1.00000000,1.00000000,0.00001876,99379.04235473,0.00115831,0.00111619,1345.08798451,0.00010393,0.00227119,0.00371997,268.77177479
56219.91709764,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,0.56222252,0.06000000,21510.00000000,6.56141315,201.44000000,740.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,822.00000000,9017.00000000,303.00000000,325.00000000,1.00000000,1.00000000,0.00001779,31759.77728169,0.00135135,0.00121655,25600.00000000,0.00011090,0.00330033,0.00307692,246.60000000
54984.58919805,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,0.81091038,0.06000000,35391.00000000,9.24812274,201.44000000,1055.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,913.00000000,8859.15320193,243.00000000,355.00000000,1.00000000,1.00000000,0.00001819,56282.81236412,0.00094787,0.00109529,24025.00000000,0.00011288,0.00411523,0.00281690,273.90000000
60396.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.66904170,0.06000000,17524.00000000,5.26714933,201.44000000,872.65072107,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,989.00000000,13214.74702043,60.00000000,216.00000000,1.00000000,1.00000000,0.00001656,82638.67497089,0.00114593,0.00101112,747.98305818,0.00007567,0.01666667,0.00462963,296.70000000
60068.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.77932002,0.06000000,34966.00000000,5.68117997,201.44000000,811.42445913,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,905.98052793,13471.00000000,450.14482569,87.63504331,1.00000000,1.00000000,0.00001665,144003.30629824,0.00123240,0.00110378,7845.62644075,0.00007423,0.00222151,0.01141096,271.79415838
63977.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,0.13314763,0.06000000,25360.00000000,9.33804751,201.44000000,805.17154144,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,1073.00000000,6218.00000000,419.89461290,414.00000000,1.00000000,1.00000000,0.00001563,9295.18136838,0.00124197,0.00093197,8992.43655271,0.00016082,0.00238155,0.00241546,321.90000000
49020.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.87551729,0.06000000,26365.00000000,5.00000000,201.44000000,973.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,846.40882930,13734.00000000,434.00000000,393.62611624,1.00000000,1.00000000,0.00002040,90006.49566200,0.00102775,0.00118146,5329.00000000,0.00007281,0.00230415,0.00254048,253.92264879
62693.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,0.75047543,0.06000000,19762.00000000,5.59144550,201.44000000,943.24089144,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,864.51640832,10531.51881796,375.98897681,111.35690111,1.00000000,1.00000000,0.00001595,38514.27376140,0.00106017,0.00115672,1869.77469242,0.00009495,0.00265965,0.00898013,259.35492250
59157.19083040,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.18584305,0.06000000,26117.00000000,7.66058788,201.44000000,852.97680698,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,824.00000000,18880.53747538,200.21520323,181.00000000,1.00000000,1.00000000,0.00001690,135502.40806926,0.00117236,0.00121359,2211.18068208,0.00005296,0.00499463,0.00552486,247.20000000
59044.40260753,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.87989241,0.06000000,24326.00000000,8.53089590,201.44000000,852.90496754,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,785.01271548,7677.97242937,347.00000000,331.52159918,1.00000000,1.00000000,0.00001694,190433.70947451,0.00117246,0.00127386,2217.94208196,0.00013024,0.00288184,0.00301639,235.50381464
59509.41872898,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,3.00000000,0.06000000,27618.00000000,7.09646433,201.44000000,833.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,998.50187452,6855.00000000,56.79364479,485.96149092,1.00000000,1.00000000,0.00001680,177630.38117104,0.00120048,0.00100150,4489.00000000,0.00014588,0.01760760,0.00205778,299.55056236
52763.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,0.08888140,0.06000000,30784.00000000,8.90095075,201.44000000,805.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,896.99758808,17714.25759823,364.00000000,237.00000000,1.00000000,1.00000000,0.00001895,6028.97557435,0.00124224,0.00111483,9025.00000000,0.00005645,0.00274725,0.00421941,269.09927642
67424.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.50851333,0.06000000,18761.00000000,8.48702901,201.44000000,836.07867852,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,933.04108470,17404.33941430,158.00000000,85.27080887,1.00000000,1.00000000,0.00001483,99442.79945751,0.00119606,0.00107176,4085.93533982,0.00005746,0.00632911,0.01172734,279.91232541
59651.47561455,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,0.83849580,0.06000000,18407.00000000,7.63330152,201.44000000,920.19513221,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,853.00000000,8332.17701952,125.99614658,229.01512903,1.00000000,1.00000000,0.00001676,51867.95422175,0.00108673,0.00117233,407.84336507,0.00012002,0.00793675,0.00436652,255.90000000
52177.44860296,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.60116592,0.06000000,32595.00000000,10.00000000,201.44000000,917.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,986.76378083,6867.25319184,429.70906697,193.00000000,1.00000000,1.00000000,0.00001917,116468.13338810,0.00109051,0.00101341,289.00000000,0.00014562,0.00232716,0.00518135,296.02913425
49327.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,0.65071952,0.06000000,18025.00000000,8.00000000,201.44000000,926.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,928.24958722,18789.44990972,199.78857064,453.00000000,1.00000000,1.00000000,0.00002027,41401.74085682,0.00107991,0.00107730,676.00000000,0.00005322,0.00500529,0.00220751,278.47487617
60580.63071507,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.28771010,0.06000000,25965.00000000,6.00000000,201.44000000,957.17042637,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,934.11598841,8259.00000000,332.30052092,349.75422780,1.00000000,1.00000000,0.00001651,68941.32586184,0.00104475,0.00107053,3268.45765119,0.00012108,0.00300932,0.00285915,280.23479652
63154.29202083,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.40427332,0.06000000,28017.00000000,10.00000000,201.44000000,800.91697159,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,915.36656362,10752.36909699,324.54954371,82.90937233,1.00000000,1.00000000,0.00001583,174885.82714014,0.00124857,0.00109246,9817.44651967,0.00009300,0.00308119,0.01206136,274.60996909
54099.59385212,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.93263847,0.06000000,33239.00000000,8.16482691,201.44000000,951.27027080,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,1055.00000000,18944.24637822,62.10750717,380.97365732,1.00000000,1.00000000,0.00001848,188885.01100480,0.00105123,0.00094787,2628.64066763,0.00005279,0.01610111,0.00262485,316.50000000
66849.12481282,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.84405069,0.06000000,22453.00000000,5.06636133,201.44000000,1067.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,918.32638792,10218.00000000,476.00045299,308.10783520,1.00000000,1.00000000,0.00001496,89199.27594801,0.00093721,0.00108894,27889.00000000,0.00009787,0.00210084,0.00324562,275.49791638
56372.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.09326628,0.06000000,19362.00000000,7.00000000,201.44000000,1030.49034733,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,1058.64002208,14227.14498020,166.78901894,215.72378514,1.00000000,1.00000000,0.00001774,122928.92377940,0.00097041,0.00094461,17027.73074539,0.00007029,0.00599560,0.00463556,317.59200662
65240.97994459,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.99971120,0.06000000,21340.00000000,6.30508654,201.44000000,837.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,1056.97707471,11924.00000000,408.66942483,88.00000000,1.00000000,1.00000000,0.00001533,165449.26960762,0.00119474,0.00094609,3969.00000000,0.00008386,0.00244697,0.01136364,317.09312241
56715.58789516,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,0.40380094,0.06000000,31980.00000000,6.65041422,201.44000000,730.77495560,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,989.49895218,13562.00000000,294.00000000,93.00000000,1.00000000,1.00000000,0.00001763,22995.73637510,0.00136841,0.00101061,28637.11565051,0.00007374,0.00340136,0.01075269,296.84968565
58126.29875399,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.00000000,0.06000000,32295.00000000,7.87398053,201.44000000,1027.55786825,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,774.00000000,17603.00000000,238.32742546,258.00000000,1.00000000,1.00000000,0.00001720,63021.30332289,0.00097318,0.00129199,16271.00975232,0.00005681,0.00419591,0.00387597,232.20000000
57315.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.42379536,0.06000000,34675.00000000,8.34069393,201.44000000,864.00405307,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,954.00007150,8410.44370430,157.67313266,88.00000000,1.00000000,1.00000000,0.00001745,158120.44888580,0.00115740,0.00104822,1295.70819571,0.00011890,0.00634223,0.01136364,286.20002145
50702.66028729,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.66660666,0.06000000,27489.00000000,9.08563452,201.44000000,984.51158230,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,738.58441710,12356.00000000,416.02311754,314.13366522,1.00000000,1.00000000,0.00001972,114450.32980164,0.00101573,0.00135394,7142.20754266,0.00008093,0.00240371,0.00318336,221.57532513
52848.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.00000000,0.06000000,34593.00000000,8.66564261,201.44000000,1035.13602354,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,896.41944345,6367.00000000,385.00000000,276.21386072,1.00000000,1.00000000,0.00001892,66749.99584273,0.00096606,0.00111555,18261.74485773,0.00015706,0.00259740,0.00362038,268.92583304
69638.42723505,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.63700109,0.06000000,22054.00000000,7.00000000,201.44000000,970.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,1013.00000000,8000.12867694,458.36387003,355.90179777,1.00000000,1.00000000,0.00001436,96134.34464616,0.00103093,0.00098717,4900.00000000,0.00012500,0.00218167,0.00280976,303.90000000
50971.60550419,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,0.80748738,0.06000000,26863.00000000,10.00000000,201.44000000,991.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,982.28624593,11027.00000000,194.13600526,400.00000000,1.00000000,1.00000000,0.00001962,58736.29121227,0.00100908,0.00101803,8281.00000000,0.00009069,0.00515103,0.00250000,294.68587378
68359.55589100,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.33723041,0.06000000,31714.00000000,6.65546589,201.44000000,1053.40535377,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,992.16208057,9226.64620729,438.00000000,298.94587711,1.00000000,1.00000000,0.00001463,133161.71660299,0.00094930,0.00100790,23533.20256616,0.00010838,0.00228311,0.00334509,297.64862417
66244.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,3.00000000,0.06000000,17143.00000000,9.33122145,201.44000000,828.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,898.45947048,10269.32464789,136.00000000,353.00000000,1.00000000,1.00000000,0.00001510,209341.40326748,0.00120773,0.00111302,5184.00000000,0.00009738,0.00735294,0.00283286,269.53784115
50802.76417413,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,0.51726634,0.06000000,35718.00000000,6.03006178,201.44000000,838.19848306,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,820.00000000,10372.00000000,115.65515587,277.00000000,1.00000000,1.00000000,0.00001968,27776.53423279,0.00119303,0.00121951,3819.42749625,0.00009641,0.00864639,0.00361011,246.00000000
63450.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.98869062,0.06000000,31634.00000000,6.82500815,201.44000000,992.20203706,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,754.51441067,17589.00000000,123.11332185,440.40086545,1.00000000,1.00000000,0.00001576,172867.61634284,0.00100786,0.00132536,8501.21563746,0.00005685,0.00812260,0.00227066,226.35432320
49055.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.35481883,0.06000000,23856.00000000,5.87410308,201.44000000,875.51905532,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,918.00000000,6842.76031074,489.00000000,286.91310450,1.00000000,1.00000000,0.00002039,124478.17618267,0.00114218,0.00108932,599.31665231,0.00014614,0.00204499,0.00348538,275.40000000
46946.57335784,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.00000000,0.06000000,19325.00000000,6.00000000,201.44000000,1053.52029980,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,743.10910642,18564.00000000,194.19710039,335.19840174,1.00000000,1.00000000,0.00002130,107075.84849511,0.00094920,0.00134570,23568.48245218,0.00005387,0.00514941,0.00298331,222.93273193
65516.01047471,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,3.00000000,0.06000000,34183.00000000,7.85875583,201.44000000,942.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,802.30755682,12618.00000000,301.91622049,469.61721337,1.00000000,1.00000000,0.00001526,188844.48695986,0.00106157,0.00124640,1764.00000000,0.00007925,0.00331218,0.00212939,240.69226705
63938.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.40554198,0.06000000,31022.00000000,6.09234380,201.44000000,856.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,811.00000000,10743.49831298,293.00000000,428.00000000,1.00000000,1.00000000,0.00001564,75942.56136171,0.00116822,0.00123305,1936.00000000,0.00009308,0.00341297,0.00233645,243.30000000
57220.83910881,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.00000000,0.06000000,29284.00000000,5.12749197,201.44000000,841.00000000,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,818.47995163,19505.32416603,448.43433531,295.83436070,1.00000000,1.00000000,0.00001748,97441.45668990,0.00118906,0.00122178,3481.00000000,0.00005127,0.00222998,0.00338027,245.54398549
60174.00000000,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,1.01511945,0.06000000,20214.00000000,9.82600305,201.44000000,938.39037018,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,1018.70757338,16773.00000000,246.00000000,83.00000000,1.00000000,1.00000000,0.00001662,73065.78683932,0.00106565,0.00098164,1473.82052231,0.00005962,0.00406504,0.01204819,305.61227201
65834.61169259,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.33894744,0.06000000,35749.00000000,7.04319652,201.44000000,835.60952609,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,819.00000000,16590.00000000,248.63542618,419.81341173,1.00000000,1.00000000,0.00001519,137864.71401306,0.00119673,0.00122100,4146.13313046,0.00006028,0.00402195,0.00238201,245.70000000
57043.94710029,10000.00000000,6.00000000,6.00000000,4.50000000,26305.14000000,2.04159873,0.06000000,17221.00000000,9.55099742,201.44000000,924.18917460,180.00000000,6.00000000,6.00000000,4.50000000,720.00000000,769.41574500,11845.61905804,219.34721880,313.05180443,1.00000000,1.00000000,0.00001753,144467.58133322,0.00108203,0.00129969,585.11616804,0.00008442,0.00455898,0.00319436,230.82472350
