r,amp_w,tw,tp_w,phase_w,vert_w,acre,cw, qw, qe,ce, qd,amp_s,ts,tp_s,phase_s,vert_s, qs, tal,exp, mal,i,crop,r_var,water_energy_util_var,dem_var,diff_sup_dem_var,tal_var,exp_var,mal_var, qs_stddev
69680.89995,10000,6,6,4.5,26305.14,1.054979996,0.06,18650,8.457213492,201.44,919.9700895,180,6,6,4.5,720,1061.732156,17260.06361,287.2571645,482,1,1,1.43511E-05,69398.70716,0.001086992,-19.97008945,5.79372E-05,0.003481201,0.002074689,382.223576
59615.96035,10000,6,6,4.5,26305.14,0.512583402,0.06,32737,9.824130049,201.44,942.302391,180,6,6,4.5,720,819.6530649,19902,116.8059387,498,1,1,1.6774E-05,36890.2654,0.00106123,-42.30239103,5.02462E-05,0.008561209,0.002008032,319.6646953
56814,10000,6,6,4.5,26305.14,2,0.06,18538,8,201.44,984.2243412,180,6,6,4.5,720,902.8563761,16097,259.7128581,291.4953372,1,1,1.76013E-05,127249.1138,0.001016029,-84.2243412,6.21234E-05,0.003850406,0.003430587,343.0854229
67719.33425,10000,6,6,4.5,26305.14,1.640268256,0.06,18644,6.628642705,201.44,822.0441388,180,6,6,4.5,720,876,15140,175.9613512,323.5258628,1,1,1.47668E-05,93226.72438,0.00121648,77.95586119,6.60502E-05,0.005683066,0.003090943,332.88
51479.95521,10000,6,6,4.5,26305.14,2.671964445,0.06,23673,5.292273859,201.44,964.3271825,180,6,6,4.5,720,999,16176.50427,130.264515,137.4847206,1,1,1.9425E-05,132674.3105,0.001036992,-64.32718254,6.18181E-05,0.007676688,0.007273536,239.76
63956.53914,10000,6,6,4.5,26305.14,2.355510493,0.06,31735,9.723040882,201.44,751,180,6,6,4.5,720,742,10267.88631,261.3855197,213,1,1,1.56356E-05,168475.6299,0.001331558,149,9.7391E-05,0.003825767,0.004694836,148.4
56150.49567,10000,6,6,4.5,26305.14,3,0.06,32930,10,201.44,990,180,6,6,4.5,720,962.2620867,8807.512038,372.1513716,305,1,1,1.78093E-05,218218.7347,0.001010101,-90,0.000113539,0.002687079,0.003278689,211.6976591
59461,10000,6,6,4.5,26305.14,1.068543347,0.06,23000,10,201.44,1000,180,6,6,4.5,720,817,17261,176,57,1,1,1.68177E-05,77725.39243,0.001,-100,5.79341E-05,0.005681818,0.01754386,310.46
67719.09146,10000,6,6,4.5,26305.14,2.50194035,0.06,23819,5.216791123,201.44,968.4231851,180,6,6,4.5,720,870.8814263,12844,186,356,1,1,1.47669E-05,123165.7055,0.001032606,-68.42318507,7.78574E-05,0.005376344,0.002808989,339.6437563
66771.55724,10000,6,6,4.5,26305.14,1.756789796,0.06,23770,8.545983407,201.44,930.6783719,180,6,6,4.5,720,867.6151949,14004,109.1982359,476,1,1,1.49764E-05,116291.4555,0.001074485,-30.67837189,7.14082E-05,0.009157657,0.00210084,190.8753429
60565.90564,10000,6,6,4.5,26305.14,3,0.06,35961,9,201.44,766.4157823,180,6,6,4.5,720,818.1667422,10013.08048,267.270042,325.716165,1,1,1.65109E-05,204850.7409,0.001304775,133.5842177,9.98694E-05,0.003741534,0.003070158,253.6316901
56067,10000,6,6,4.5,26305.14,2.237722917,0.06,21726,7.512862933,201.44,882.744654,180,6,6,4.5,720,743.2890847,15488.32187,271.5149126,160.4212276,1,1,1.78358E-05,137107.2334,0.00113283,17.25534604,6.45648E-05,0.003683039,0.006233589,215.5538346
58578.36069,10000,6,6,4.5,26305.14,1.26899298,0.06,25187,5,201.44,777,180,6,6,4.5,720,884.3569227,10908.90597,338,247.2579037,1,1,1.70712E-05,60899.25798,0.001287001,123,9.16682E-05,0.00295858,0.00404436,221.0892307
57700.25872,10000,6,6,4.5,26305.14,2.574169271,0.06,26728,6.850372781,201.44,900.8203112,180,6,6,4.5,720,926.3185459,15955,224.0218083,350,1,1,1.73309E-05,149223.2188,0.001110099,-0.8203112,6.26763E-05,0.004463851,0.002857143,333.4746765
66220.39933,10000,6,6,4.5,26305.14,2.276302799,0.06,22129,7.860380025,201.44,962.3448789,180,6,6,4.5,720,871,12691,72.05530908,237.4914021,1,1,1.51011E-05,143306.8458,0.001039129,-62.34487891,7.8796E-05,0.013878228,0.004210679,348.4
65354.80311,10000,6,6,4.5,26305.14,2.473109363,0.06,29413,6.109448132,201.44,983.157465,180,6,6,4.5,720,853.839455,6595.248593,188.745122,450,1,1,1.53011E-05,133849.0489,0.001017131,-83.15746504,0.000151624,0.00529815,0.002222222,315.9205984
54091,10000,6,6,4.5,26305.14,2.161369931,0.06,25925,8.719041614,201.44,1077,180,6,6,4.5,720,973,13058.61947,209.8658446,498.3384739,1,1,1.84874E-05,144804.1918,0.000928505,-177,7.65778E-05,0.004764949,0.002006668,282.17
69029,10000,6,6,4.5,26305.14,1.186070121,0.06,28798,9.153761417,201.44,869.42965,180,6,6,4.5,720,772.3733113,10152,278,101.2778658,1,1,1.44867E-05,81816.50005,0.001150179,30.57034999,9.85028E-05,0.003597122,0.009873826,247.1594596
57310.62006,10000,6,6,4.5,26305.14,1,0.06,22552,6,201.44,821,180,6,6,4.5,720,1079,7949,215.3690643,345,1,1,1.74488E-05,53537.92425,0.001218027,79,0.000125802,0.004643192,0.002898551,410.02
53133.89914,10000,6,6,4.5,26305.14,2.004888973,0.06,18296,7,201.44,949.9280878,180,6,6,4.5,720,878.9597944,5112,162.5697952,126,1,1,1.88204E-05,117738.888,0.001052711,-49.9280878,0.000195618,0.006151204,0.007936508,334.0047219
61459.9654,10000,6,6,4.5,26305.14,1.190556308,0.06,21894,5,201.44,1047.525962,180,6,6,4.5,720,996.8209776,10494.66737,168.5561472,289.4945107,1,1,1.62708E-05,57135.06447,0.00095463,-147.5259623,9.52865E-05,0.005932741,0.003454297,368.8237617
66880,10000,6,6,4.5,26305.14,1.377346427,0.06,28984,7.11143097,201.44,806.9654156,180,6,6,4.5,720,806.5760412,10294.66073,341.7192153,241.0784488,1,1,1.49522E-05,81656.0118,0.00123921,93.03458443,9.71377E-05,0.002926379,0.004148027,233.9070519
47505.71286,10000,6,6,4.5,26305.14,0.055590212,0.06,18132,10,201.44,1004.735193,180,6,6,4.5,720,928.4781112,8449,192,221,1,1,2.10501E-05,4043.608599,0.000995287,-104.7351926,0.000118357,0.005208333,0.004524887,194.9804033
49969,10000,6,6,4.5,26305.14,1.715660771,0.06,21255,6,201.44,838.9451737,180,6,6,4.5,720,779,15966.39497,102.1705709,426.1206349,1,1,2.00124E-05,91852.9164,0.001191973,61.05482628,6.26315E-05,0.009787554,0.002346753,280.44
55927,10000,6,6,4.5,26305.14,2.088636891,0.06,23145,8.213428594,201.44,1051,180,6,6,4.5,720,922.2788024,8977.182626,225.6798452,53.59855986,1,1,1.78805E-05,135004.5528,0.000951475,-151,0.000111394,0.004431056,0.018657218,212.1241246
48610,10000,6,6,4.5,26305.14,2.877555066,0.06,30451,9,201.44,883.1940575,180,6,6,4.5,720,754.2585142,9398.766106,116.2026828,302,1,1,2.05719E-05,196489.7624,0.001132254,16.80594254,0.000106397,0.008605653,0.003311258,181.0220434
54650.34427,10000,6,6,4.5,26305.14,1.55534681,0.06,32900,7.733824137,201.44,769,180,6,6,4.5,720,968.4091383,11148,234,306.9791791,1,1,1.82981E-05,96969.37507,0.00130039,131,8.97022E-05,0.004273504,0.00325755,319.5750156
65145,10000,6,6,4.5,26305.14,3,0.06,31300,8.931453205,201.44,992.1369612,180,6,6,4.5,720,1062.022112,14052,55.1716009,431.6189621,1,1,1.53504E-05,203913.1857,0.001007925,-92.13696121,7.11642E-05,0.018125267,0.002316858,318.6066336
52412.36216,10000,6,6,4.5,26305.14,3,0.06,18872,9.804639321,201.44,877,180,6,6,4.5,720,771,14567.03544,69.44334524,279.528199,1,1,1.90795E-05,215650.7668,0.001140251,23,6.86481E-05,0.014400228,0.003577457,254.43
63251.39574,10000,6,6,4.5,26305.14,1.692398092,0.06,34704,8.281288852,201.44,738,180,6,6,4.5,720,820.4234607,7171.906009,260,318,1,1,1.58099E-05,109934.0089,0.001355014,162,0.000139433,0.003846154,0.003144654,229.718569
48621,10000,6,6,4.5,26305.14,3,0.06,24392,9.165276911,201.44,826.7649126,180,6,6,4.5,720,909.5238638,7154.63456,241.8429513,195,1,1,2.05672E-05,207099.6609,0.001209534,73.23508743,0.00013977,0.004134915,0.005128205,363.8095455
49755.6719,10000,6,6,4.5,26305.14,2.652807457,0.06,25758,6.065250506,201.44,824,180,6,6,4.5,720,919,8239,380,146.2268695,1,1,2.00982E-05,142950.5248,0.001213592,76,0.000121374,0.002631579,0.006838688,183.8
62685.49084,10000,6,6,4.5,26305.14,0.594979329,0.06,24908,8.930019962,201.44,779.434561,180,6,6,4.5,720,953.9961674,18563.86641,91.36096673,263.6839521,1,1,1.59527E-05,40437.48288,0.001282981,120.565439,5.38681E-05,0.010945593,0.003792419,372.0585053
63687.47554,10000,6,6,4.5,26305.14,0.053297961,0.06,25878,5.793699071,201.44,1044.413759,180,6,6,4.5,720,756,12792.83208,380.7089215,275,1,1,1.57017E-05,2794.183569,0.000957475,-144.4137588,7.81688E-05,0.002626679,0.003636364,151.2
65977.3118,10000,6,6,4.5,26305.14,2.054721319,0.06,18958,10,201.44,890.0704656,180,6,6,4.5,720,785.7621179,6836,70.42548902,439,1,1,1.51567E-05,149459.5622,0.001123507,9.929534373,0.000146284,0.014199404,0.002277904,282.8743624
47267,10000,6,6,4.5,26305.14,1.95228889,0.06,19728,6.866116201,201.44,858.7818068,180,6,6,4.5,720,771.9955065,17773.07342,389,425.2575567,1,1,2.11564E-05,113329.129,0.00116444,41.21819325,5.62649E-05,0.002570694,0.002351516,208.4387868
55296.80983,10000,6,6,4.5,26305.14,1.374294954,0.06,16726,8.483363504,201.44,740.9427349,180,6,6,4.5,720,852.2145121,10211.81188,311.342449,103.9191287,1,1,1.80842E-05,90571.50333,0.001349632,159.0572651,9.79258E-05,0.003211897,0.009622867,323.8415146
58580.94127,10000,6,6,4.5,26305.14,2.847695795,0.06,23268,7,201.44,884,180,6,6,4.5,720,804.4046587,18630,399,430.2928278,1,1,1.70704E-05,167233.4682,0.001131222,16,5.36769E-05,0.002506266,0.002323999,249.3654442
51325,10000,6,6,4.5,26305.14,0.698289083,0.06,33537,7.819373811,201.44,936.4853086,180,6,6,4.5,720,875.8227946,18933,264.6983175,306.8368993,1,1,1.94837E-05,43823.71757,0.001067822,-36.48530857,5.28178E-05,0.003777886,0.00325906,245.2303825
64473.53598,10000,6,6,4.5,26305.14,0.149411853,0.06,21658,9,201.44,982,180,6,6,4.5,720,951,9144.642789,276.3057665,411.1166581,1,1,1.55102E-05,10202.37626,0.00101833,-82,0.000109354,0.003619179,0.0024324,237.75
55699.27027,10000,6,6,4.5,26305.14,1.771797597,0.06,17871,9.265037275,201.44,1050.345262,180,6,6,4.5,720,1032.00969,10805.60987,463.4019977,445.7770426,1,1,1.79536E-05,123109.9598,0.000952068,-150.345262,9.25445E-05,0.002157954,0.002243274,361.2033914
69637,10000,6,6,4.5,26305.14,2.407822848,0.06,34215,8.517285572,201.44,802.0879172,180,6,6,4.5,720,974,19252.90391,58,314.8456052,1,1,1.43602E-05,159065.5147,0.001246746,97.91208277,5.19402E-05,0.017241379,0.00317616,360.38
62545.34557,10000,6,6,4.5,26305.14,1.817260687,0.06,18849,10,201.44,778.3892585,180,6,6,4.5,720,915.3583067,12054,132.1766007,278,1,1,1.59884E-05,132186.7759,0.001284704,121.6107415,8.296E-05,0.007565636,0.003597122,320.3754073
54257,10000,6,6,4.5,26305.14,2,0.06,21513,5.609871683,201.44,1067.207997,180,6,6,4.5,720,992.7513006,8742,476.1694858,348.0238141,1,1,1.84308E-05,102842.4776,0.000937024,-167.2079968,0.00011439,0.002100093,0.002873367,307.7529032
62634.22654,10000,6,6,4.5,26305.14,1.840383403,0.06,27688,10,201.44,949,180,6,6,4.5,720,765,6195,379,190.4355783,1,1,1.59657E-05,133868.7125,0.001053741,-49,0.000161421,0.002638522,0.00525112,283.05
60932.15941,10000,6,6,4.5,26305.14,1.832689142,0.06,23948,9.623484066,201.44,1077.908286,180,6,6,4.5,720,870.5014545,19279,370,416,1,1,1.64117E-05,130274.3708,0.000927723,-177.9082863,5.18699E-05,0.002702703,0.002403846,243.7404073
55648.07681,10000,6,6,4.5,26305.14,1.615171882,0.06,26002,8,201.44,858.0082391,180,6,6,4.5,720,853.0147915,7690.618508,430,304.8998474,1,1,1.79701E-05,102764.5953,0.00116549,41.9917609,0.000130029,0.002325581,0.003279765,196.193402
59449.07161,10000,6,6,4.5,26305.14,1.450477908,0.06,27082,9.327965228,201.44,723,180,6,6,4.5,720,813.6766254,7709.085921,155,374,1,1,1.68211E-05,101193.8335,0.001383126,177,0.000129717,0.006451613,0.002673797,235.9662214
51525.71384,10000,6,6,4.5,26305.14,1.262407496,0.06,19253,6.812862586,201.44,900,180,6,6,4.5,720,852.1356754,19663,177,338.5372972,1,1,1.94078E-05,72940.39667,0.001111111,0,5.08569E-05,0.005649718,0.002953884,255.6407026
60204.19151,10000,6,6,4.5,26305.14,0.807874362,0.06,25535,5,201.44,843,180,6,6,4.5,720,857,9478.30398,270.5462375,100.292077,1,1,1.66101E-05,38770.07199,0.00118624,57,0.000105504,0.003696226,0.009970877,179.97
52425.5398,10000,6,6,4.5,26305.14,1.564586043,0.06,30789,10,201.44,768,180,6,6,4.5,720,1031,14597,193.4576772,466,1,1,1.90747E-05,113807.3289,0.001302083,132,6.85072E-05,0.005169089,0.002145923,278.37
68874.51121,10000,6,6,4.5,26305.14,0.915530912,0.06,19248,5.705202159,201.44,907.6957582,180,6,6,4.5,720,853.5299034,5186.318977,347.1454857,228.0423926,1,1,1.45192E-05,47556.11996,0.001101691,-7.695758158,0.000192815,0.002880637,0.00438515,179.2412797
60088.02957,10000,6,6,4.5,26305.14,1.785913095,0.06,29443,8.640784157,201.44,841.4813451,180,6,6,4.5,720,995.3296158,12817,204,448.699876,1,1,1.66422E-05,119004.3932,0.00118838,58.51865485,7.80214E-05,0.004901961,0.002228661,318.5054771
48688,10000,6,6,4.5,26305.14,0.463128513,0.06,27476,9.683599386,201.44,961.2077629,180,6,6,4.5,720,911.7133756,16643,246.709783,308.9165003,1,1,2.05389E-05,33044.13495,0.001040358,-61.20776285,6.00853E-05,0.004053346,0.003237121,309.9825477
63496.70282,10000,6,6,4.5,26305.14,2.680671061,0.06,21208,7,201.44,906,180,6,6,4.5,720,995.6908906,11883,87.51216498,455,1,1,1.57488E-05,157424.7921,0.001103753,-6,8.41538E-05,0.011426983,0.002197802,358.4487206
65330.86125,10000,6,6,4.5,26305.14,0.861478028,0.06,33494,8.635730074,201.44,1042.483726,180,6,6,4.5,720,875,19874.21912,271.4706522,133.6654038,1,1,1.53067E-05,57384.47591,0.000959248,-142.4837256,5.03164E-05,0.003683639,0.007481367,218.75
62542.72354,10000,6,6,4.5,26305.14,3,0.06,30701,8.254799701,201.44,980,180,6,6,4.5,720,905,17602.03377,392.2528495,82.78965715,1,1,1.59891E-05,194498.366,0.001020408,-80,5.68116E-05,0.002549376,0.012078803,362
65573.7388,10000,6,6,4.5,26305.14,0.212145135,0.06,26254,9.026434245,201.44,1047,180,6,6,4.5,720,920,15942.96125,283,302,1,1,1.525E-05,14511.5429,0.00095511,-147,6.27236E-05,0.003533569,0.003311258,211.6
61083.1864,10000,6,6,4.5,26305.14,2.311829136,0.06,31528,9,201.44,877.4151158,180,6,6,4.5,720,837.28377,5950,352,135.4782,1,1,1.63711E-05,157859.9704,0.001139711,22.58488417,0.000168067,0.002840909,0.007381261,318.1678326
58833.71281,10000,6,6,4.5,26305.14,1,0.06,28253,5.701971482,201.44,1005.203918,180,6,6,4.5,720,888.0456488,6200.951107,225.9560267,345,1,1,1.69971E-05,51926.11169,0.000994823,-105.2039184,0.000161266,0.00442564,0.002898551,222.0114122
55739,10000,6,6,4.5,26305.14,1.307974887,0.06,31879,8,201.44,848.9987997,180,6,6,4.5,720,1027.7792,15030,123,223.9965778,1,1,1.79408E-05,83219.32263,0.001177858,51.00120028,6.65336E-05,0.008130081,0.004464354,215.833632
47600.56442,10000,6,6,4.5,26305.14,1.501586119,0.06,28384,8.675006548,201.44,809.4735377,180,6,6,4.5,720,762,17746.86314,150.6349245,167.9188187,1,1,2.10082E-05,100295.8378,0.001235371,90.52646226,5.6348E-05,0.006638567,0.005955259,220.98
63806.83353,10000,6,6,4.5,26305.14,2.188547955,0.06,33408,10,201.44,1032.980161,180,6,6,4.5,720,1054,7902.667412,86.44210366,234,1,1,1.56723E-05,159194.0552,0.000968073,-132.9801607,0.00012654,0.011568437,0.004273504,411.06
60656.08918,10000,6,6,4.5,26305.14,0.889691974,0.06,32713,9.911626201,201.44,816,180,6,6,4.5,720,928.8874247,19857.27744,327,458.2508768,1,1,1.64864E-05,64372.05894,0.00122549,84,5.03594E-05,0.003058104,0.002182211,315.8217244
56812.77458,10000,6,6,4.5,26305.14,2.753781887,0.06,36102,8,201.44,720,180,6,6,4.5,720,766.6614365,17386,348,196,1,1,1.76017E-05,175208.1523,0.001388889,180,5.75175E-05,0.002873563,0.005102041,268.3315028
64114.11635,10000,6,6,4.5,26305.14,3,0.06,18228,7.353392426,201.44,894.4290821,180,6,6,4.5,720,982.3341621,19333.45569,349.3003303,164.7096034,1,1,1.55972E-05,181461.5764,0.001118032,5.570917897,5.17238E-05,0.002862866,0.006071291,343.8169567
59852,10000,6,6,4.5,26305.14,1.481228508,0.06,21239,6.695619986,201.44,732,180,6,6,4.5,720,937,12545.37301,63.10873416,415.5046383,1,1,1.67079E-05,84696.86177,0.00136612,168,7.97107E-05,0.015845667,0.002406712,327.95
50191,10000,6,6,4.5,26305.14,0.521277764,0.06,26509,5.658475445,201.44,961.4242724,180,6,6,4.5,720,971,19278,459,90.47432035,1,1,1.99239E-05,26943.84926,0.001040124,-61.42427242,5.18726E-05,0.002178649,0.01105286,242.75
62676.12312,10000,6,6,4.5,26305.14,1.737401707,0.06,28631,5.092141073,201.44,1023,180,6,6,4.5,720,1011.791878,14089,448.5083761,210.0291127,1,1,1.5955E-05,84296.83688,0.000977517,-123,7.09774E-05,0.002229613,0.004761245,333.8913198
50269.27721,10000,6,6,4.5,26305.14,0.722480016,0.06,23940,7.964835096,201.44,756.8540707,180,6,6,4.5,720,820.2293767,11325.54134,323,274.6160642,1,1,1.98929E-05,45846.13096,0.001321259,143.1459293,8.8296E-05,0.003095975,0.003641448,278.8779881
69522,10000,6,6,4.5,26305.14,2.320677521,0.06,28542,7.714869123,201.44,1012.052384,180,6,6,4.5,720,883.8570007,17351.82809,158.9598891,487,1,1,1.43839E-05,144471.6763,0.000988091,-112.0523844,5.76308E-05,0.006290895,0.002053388,309.3499503
68931.51322,10000,6,6,4.5,26305.14,2,0.06,19803,8,201.44,882.8069042,180,6,6,4.5,720,993,12055,94,106.7511959,1,1,1.45072E-05,127249.1138,0.001132751,17.19309576,8.29531E-05,0.010638298,0.009367577,327.69
57577,10000,6,6,4.5,26305.14,2.16257583,0.06,19463,7.408278581,201.44,768,180,6,6,4.5,720,726,18870,466,397.5535962,1,1,1.7368E-05,131393.0841,0.001302083,132,5.29942E-05,0.002145923,0.002515384,145.2
54122,10000,6,6,4.5,26305.14,1,0.06,23589,8.590399258,201.44,895,180,6,6,4.5,720,965.1535675,19112.46693,223.2409575,222.7413054,1,1,1.84768E-05,66401.6373,0.001117318,5,5.23219E-05,0.004479465,0.004489513,357.10682
52519,10000,6,6,4.5,26305.14,0.635977689,0.06,33634,5,201.44,905.0207071,180,6,6,4.5,720,851,6353.961111,355.5377539,402,1,1,1.90407E-05,30520.71205,0.001104947,-5.020707115,0.000157382,0.002812641,0.002487562,221.26
61470.62108,10000,6,6,4.5,26305.14,1.744922661,0.06,20632,8,201.44,961,180,6,6,4.5,720,881,16937,314.7153467,153,1,1,1.62679E-05,111019.9312,0.001040583,-61,5.90423E-05,0.003177475,0.006535948,317.16
56534.50099,10000,6,6,4.5,26305.14,2.529210098,0.06,18575,8,201.44,921.7539427,180,6,6,4.5,720,827,16234.19985,469.4407735,375,1,1,1.76883E-05,160919.8718,0.001084888,-21.75394269,6.15984E-05,0.002130194,0.002666667,264.64
68908.19441,10000,6,6,4.5,26305.14,2,0.06,21718,6.192069916,201.44,858.0781838,180,6,6,4.5,720,776.9223812,19757.81384,176.877493,140.9160918,1,1,1.45121E-05,109119.4794,0.001165395,41.92181616,5.06129E-05,0.005653631,0.007096422,256.3843858
56035.70944,10000,6,6,4.5,26305.14,2.765871858,0.06,33248,6,201.44,907.7270749,180,6,6,4.5,720,892,8757.277768,444.1297027,257.2953049,1,1,1.78458E-05,148079.038,0.001101653,-7.727074879,0.000114191,0.002251595,0.003886585,321.12
50464.69615,10000,6,6,4.5,26305.14,0.556350626,0.06,25836,6.748397017,201.44,897.2307287,180,6,6,4.5,720,721,5490.033316,86,248.5607121,1,1,1.98158E-05,31962.4259,0.001114541,2.769271311,0.000182148,0.011627907,0.004023162,237.93
65260.26031,10000,6,6,4.5,26305.14,1.280533106,0.06,18081,8,201.44,1079,180,6,6,4.5,720,902,12777,407.0871521,490,1,1,1.53233E-05,81473.35144,0.000926784,-179,7.82656E-05,0.002456476,0.002040816,243.54
60453,10000,6,6,4.5,26305.14,2.469786576,0.06,23388,9.05561089,201.44,923,180,6,6,4.5,720,952.340685,19805.39236,191.1810521,257.3020357,1,1,1.65418E-05,169270.336,0.001083424,-23,5.04913E-05,0.005230644,0.003886483,314.272426
